LEA Name,LEA Number,School Name,School Number,Address Line1,City,Zip Code,Operational Status,Grade Level Current
Charlotte-Mecklenburg Schools,600,Long Creek Elementary,600444,9213-A Beatties Ford Rd,Huntersville,28078,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Mallard Creek Elementary,600446,9801 Mallard Creek Rd,Charlotte,28262,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Mallard Creek High School,600445,3825 Johnston Oehler Rd,Charlotte,28269,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Marie G Davis School,600366,3351 Griffith St,Charlotte,28203,Open,KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,"Martin Luther King, Jr Middle",600448,500 Bilmark Ave,Charlotte,28213,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Matthews Elementary,600447,200 E McDowell St,Matthews,28105,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,McAlpine Elementary,600449,9100 Carswell Ln,Charlotte,28277,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,McClintock Middle,600450,1925 Rama Rd,Charlotte,28212,Open,06:07:08
Charlotte-Mecklenburg Schools,600,McKee Road Elementary,600451,4101 McKee Rd,Charlotte,28270,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Merancas Middle College-CPCC,600594,12010 Verhoeff Dr,Huntersville,28078,Open,11:12:13:XG
Charlotte-Mecklenburg Schools,600,Merry Oaks International Academy,600453,3508 Draper Ave,Charlotte,28205,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Metro School,600454,405 S. Davidson St,Charlotte,28202,Open,P2:P3:PK:KG:01:02:03:04:05:06:07:08:09:10:11:12:13:XG
Charlotte-Mecklenburg Schools,600,Military and Global Leadership,600364,"1411 Hawthorne Lane, Ste A",Charlotte,28205,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Mint Hill Middle,600455,11501 Idlewild Road,Matthews,28105,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Montclaire Elementary,600459,5801 Farmbrook Dr,Charlotte,28210,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Mountain Island Lake Academy,600462,7905 Pleasant Grove Rd,Charlotte,28216,Open,PK:KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,Myers Park High School,600466,2400 Colony Rd,Charlotte,28209,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Myers Park Traditional Elem,600464,2132 Radcliffe Ave,Charlotte,28207,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Nations Ford Elementary,600471,7050 Nations Ford Rd,Charlotte,28217,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,New Southeast Elementary Relief School,600595,11615 Idlewild Road,Matthews,28105,Future School,KG:01:02:03:04
Charlotte-Mecklenburg Schools,600,Newell Elementary,600474,"325 Rocky River Road, West",Charlotte,28213,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,North Academy of World Languages,600306,12201 Hambright Rd,Huntersville,28078,New,KG:01:02:03:04:06:07
Charlotte-Mecklenburg Schools,600,North Mecklenburg High School,600480,11201 Old Statesville Rd,Huntersville,28078,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Northeast Middle,600479,5960 Brickstone Dr,Mint Hill,28227,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Northridge Middle,600481,7601 The Plaza,Charlotte,28215,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Northwest School of the Arts,600482,1415 Beatties Ford Rd,Charlotte,28216,Open,06:07:08:09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Oakdale Elementary,600485,1825 Oakdale Rd,Charlotte,28216,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Oakhurst STEAM Academy,600484,4511 Monroe Rd,Charlotte,28205,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Oaklawn Language Academy,600488,1810 Oaklawn Ave,Charlotte,28216,Open,KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,Olde Providence Elementary,600491,3800 Rea Rd,Charlotte,28226,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Olympic High School,600490,4301 Sandy Porter Rd,Charlotte,28273,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Palisades High School,600327,14947 York Road,Charlotte,28278,Future School,09:10:11
Charlotte-Mecklenburg Schools,600,Palisades Park Elementary,600493,15321 York Rd,Charlotte,28278,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Park Road Montessori,600492,3701 Haven Dr,Charlotte,28209,Open,PK:KG:01:02:03:04:05:06
Charlotte-Mecklenburg Schools,600,Parkside Elementary,600409,2945 Johnston-Oehler Rd,Charlotte,28269,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Paw Creek Elementary,600494,1300 Cathey Rd,Charlotte,28214,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Performance Learning Center,600498,2300 W Sugar Creek Road,Charlotte,28262,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Phillip O Berry Academy of Technology,600496,1430 Alleghany St,Charlotte,28208,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Piedmont Middle School,600497,1241 E 10th St,Charlotte,28204,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Pineville Elementary,600500,204 Lowry St,Pineville,28134,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Pinewood Elementary,600501,805 Seneca Pl,Charlotte,28210,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Piney Grove Elementary,600503,8801 Eaglewind Dr,Charlotte,28212,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Polo Ridge Elementary,600392,11830 Tom Short Rd,Charlotte,28277,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Providence High School,600508,1800 Pineville-Matthews Rd,Charlotte,28270,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Providence Spring Elementary,600507,10045 Providence Church Ln,Charlotte,28277,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Quail Hollow Middle,600509,2901 Smithfield Church Rd,Charlotte,28210,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Rama Road Elementary,600512,1035 Rama Rd,Charlotte,28211,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Randolph Middle,600513,4400 Water Oak Rd,Charlotte,28211,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Ranson Middle,600514,5850 Statesville Rd,Charlotte,28269,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Rea Farms STEAM Academy,600304,11532 Golf Links Drive,Charlotte,28277,Open,KG:01:02:03:04:05:06:07
Charlotte-Mecklenburg Schools,600,Reedy Creek Elementary,600516,10801 Plaza Rd Ext,Charlotte,28215,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Reid Park Academy,600517,4108 W Tyvola Rd,Charlotte,28208,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Renaissance West STEAM Academy,600515,3241 New Renaissance Way,Charlotte,28208,Open,P2:P3:PK:KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,Ridge Road Middle,600518,7260 Highland Creek Pkwy,Charlotte,28269,Open,06:07:08
Charlotte-Mecklenburg Schools,600,River Gate Elementary,600590,15340 Smith Rd,Charlotte,28273,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,River Oaks Academy,600463,1015 Mt Holly-Huntersville Rd,Charlotte,28214,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Rocky River High School,600457,10505 Clear Creek Commerce Dr,Mint Hill,28227,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Sedgefield Middle,600520,2700 Dorchester Pl,Charlotte,28209,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Selwyn Elementary,600522,2840 Colony Rd,Charlotte,28211,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Shamrock Gardens Elementary,600527,1900 Newcastle St,Charlotte,28216,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Sharon Elementary,600530,4330 Foxcroft Rd,Charlotte,28211,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Smithfield Elementary,600534,3200 Smithfield Church Rd,Charlotte,28210,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,South Academy of International Languages,600532,8300 Nations Ford Rd,Charlotte,28217,Open,KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,South Charlotte Middle,600537,8040 Strawberry Ln,Charlotte,28277,Open,06:07:08
Charlotte-Mecklenburg Schools,600,South Mecklenburg High School,600535,8900 Park Rd,Charlotte,28210,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,South Pine Academy,600483,2541 Sandy Porter Rd,Charlotte,28273,New,PK:KG:01:02:03:04
Charlotte-Mecklenburg Schools,600,Southwest Middle School,600538,13624 Steele Creek Rd,Charlotte,28273,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Starmount Academy of Excellence,600545,1600 Brookdale Ave,Charlotte,28210,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Statesville Road Elementary,600546,5521 Milhaven Ln,Charlotte,28269,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Steele Creek Elementary,600549,4100 Gallant Ln,Charlotte,28273,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Sterling Elementary,600550,9601 China Grove Church Rd,Pineville,28134,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Stoney Creek Elementary,600521,14015 Mallard Roost Rd,Charlotte,28262,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Thomasboro Academy,600553,538 Bradford Dr,Charlotte,28208,Open,KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,Torrence Creek Elementary,600557,14550 Ranson Rd,Huntersville,28078,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Trillium Springs Montessori,600435,9213 Beatties Ford Rd,Huntersville,28078,Open,PK:KG:01:02:03:04:05:06
Charlotte-Mecklenburg Schools,600,Tuckaseegee Elementary,600562,2028 Little Rock Rd,Charlotte,28214,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Turning Point Academy,600439,8701 Moores Chapel Rd,Charlotte,28214,Open,06:07:08:09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,University Meadows Elementary,600566,1600 Pavilion Blvd,Charlotte,28262,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,University Park Creative Arts,600565,2400 Hildebrand St,Charlotte,28216,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Vaughan Academy of Technology,600475,8601 Old Concord Rd,Charlotte,28213,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Villa Heights Elementary,600593,800 Everett Place,Charlotte,28205,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Walter G. Byers School,600574,1415 Hamilton St,Charlotte,28206,Open,PK:KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,West Charlotte High School,600576,2219 Senior Dr,Charlotte,28216,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,West Mecklenburg High School,600579,7400 Tuckaseegee Rd,Charlotte,28214,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Westerly Hills Academy,600577,4420 Denver Ave,Charlotte,28208,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Whitewater Academy,600318,11600 White Rapids Rd,Charlotte,28214,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Whitewater Middle,600317,10201 Running Rapids Rd,Charlotte,28214,Open,06:07:08
Charlotte-Mecklenburg Schools,600,William Amos Hough High,600312,12420 Bailey Rd,Cornelius,28031,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Williams Secondary Montessori,600582,2400 Carmine St,Charlotte,28206,Open,07:08:09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Wilson STEM Academy,600583,7020 Tuckaseegee Rd,Charlotte,28214,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Winding Springs Elementary,600586,6601 Horace Mann Rd,Charlotte,28269,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Windsor Park Elementary,600587,3910 Sudbury Rd,Charlotte,28205,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Winget Park Elementary,600588,12235 Winget Rd,Charlotte,28278,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Winterfield Elementary,600589,3100 Winterfield Pl,Charlotte,28205,Open,PK:KG:01:02:03:04:05
