,agency_code,school,zip_code,year,2019_med_hh_inc,int_pubsr,int_privsr,int_commcoll,int_privjr,int_trdbusnrs,int_other,int_totalsecondary,AP_pass_pct,AP_part_pct,CTE_cred_pct,CTE_enroll_pct,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,secondary_counselors
53,600579,West Mecklenburg High School,28214,2012,65706.0,83.0,43.0,181.0,2.5,9.0,87.0,404.0,,,,,0.4975,0.3333,0.3823,0.5486,0.4947,0.25,0.5811,0.3809,0.385,0.4285,,0.2888,0.4864,
54,600592,Julius L. Chambers High School,28262,2012,,95.0,41.0,149.0,2.5,13.0,67.0,366.0,,,,,0.5851,0.95,0.6875,0.619,0.5781,0.3571,0.665,0.4383,0.4943,0.5,,0.2972,0.375,
55,600690,,,2012,,14.0,2.5,42.0,,2.5,10.0,68.0,,,,,0.397,,0.8333,0.4186,0.3968,0.5,0.3947,0.1875,0.4,0.95,,0.25,,
56,600691,,,2012,,19.0,2.5,26.0,,2.5,29.0,79.0,,,,,0.405,0.95,0.6,0.4363,0.4,0.1666,0.5945,0.1875,0.238,,,0.05,0.5,
57,600692,,,2012,,6.0,13.0,20.0,,2.5,19.0,59.0,,,,,0.4067,,0.2,0.4358,0.4705,0.4444,0.5185,0.4545,0.3125,,,0.5,0.25,
58,600693,,,2012,,27.0,10.0,30.0,,,14.0,81.0,,,,,0.4523,,0.2857,0.4615,0.4318,0.1428,0.5,0.55,0.3947,,,0.1428,0.4642,
59,600694,,,2012,,53.0,13.0,19.0,,,2.5,89.0,,,,,0.7977,0.95,0.75,0.8518,0.7586,,0.7714,0.647,0.8148,0.95,,0.95,0.8205,
60,600695,,,2012,,45.0,,38.0,,2.5,2.5,87.0,,,,,0.4022,0.95,0.8333,0.25,0.4137,0.125,0.4166,0.4285,0.3846,0.7142,,0.25,0.4166,
61,600696,,,2012,,27.0,9.0,29.0,,2.5,10.0,77.0,,,,,0.4743,,0.3333,0.5423,0.4545,0.3333,0.475,0.2727,0.4736,,,0.3636,0.5,
62,600697,,,2012,,39.0,5.0,43.0,2.5,2.5,5.0,96.0,,,,,0.6804,0.95,0.7058,0.7045,0.625,0.75,0.7586,0.5294,0.5641,0.75,,0.2,0.7142,
63,600698,,,2012,,45.0,,25.0,,,2.5,72.0,,,,,0.4861,,0.25,0.5102,0.4705,0.3333,0.625,0.4166,0.375,0.95,,0.4285,0.5,
64,600302,Ardrey Kell High School,28277,2013,109251.0,329.0,64.0,126.0,2.5,2.5,20.0,544.0,,,,,0.8726937269,,0.110701107,0.13099631,0.1143911439,,0.4298892989,,0.442804428,,,,0.573800738,
65,600312,William Amos Hough High,28031,2013,91151.0,215.0,55.0,138.0,,12.0,37.0,457.0,,,,,0.7527352298,,,0.0897155361,0.0984682713,,0.3938730853,,0.3588621444,,,,0.6017505471,
66,600334,Cato Middle College High School,28215,2013,50704.0,63.0,16.0,17.0,,,2.5,99.0,,,,,0.8888888889,,,0.3434343434,0.3131313131,,0.5858585859,0.0606060606,0.303030303,,,,0.4141414141,
67,600361,Butler High School,28105,2013,117852.0,179.0,50.0,178.0,2.5,9.0,64.0,481.0,,,,,0.7308488613,,,0.1884057971,0.231884058,,0.3726708075,0.0600414079,0.3581780538,,,,0.4223602485,
68,600364,Military and Global Leadership,28205,2013,50200.0,2.5,7.0,8.0,,2.5,6.0,25.0,,,,,0.56,,,0.32,0.24,,0.28,0.12,0.28,,,,0.12,
69,600377,East Mecklenburg High School,28212,2013,46688.0,151.0,40.0,105.0,2.5,2.5,45.0,347.0,,,,,0.6628571429,,0.0514285714,0.2942857143,0.3571428571,,0.3542857143,0.0828571429,0.3085714286,,,,0.2142857143,
70,600386,Hawthorne Academy of Health Sciences,28205,2013,50200.0,,,49.0,,,2.5,50.0,,,,,0.2325581395,,,0.2093023256,0.1860465116,,0.1860465116,,,,,0.0930232558,,
